airline_sentiment,text,geographic_location,ethnicity,age,device
neutral,@USAirways never received such horrible service or treated so poorly as Richard P. today. No excuse for attitude &amp; ripping up our tickets!,"Portland, OR",Caucasian,26,mobile
neutral,@JetBlue how do I get a copy of my last flight showing original time and delay? I need it for work. Thanks!,"Aurora, CO",Caucasian,33,laptop
negative,@JetBlue can we get a honest update on departure of flite 454. Been on plane with infant children,"Anchorage, AK",Native American,60,mobile
neutral,"@USAirways US 728 Wait, now a gate opened. Back we go. (Good, maybe we can get off.)","Anchorage, AK",Hispanic,15,mobile
negative,@AmericanAir how do you NOT do maintenance on #MD80 while it sits for two days? Frozen lines found after its boarded? Come on! #faail #mci,"Lexington, KY",African American,36,laptop
negative,@SouthwestAir is seriously THE WORST. I don't remember the last time I or someone I knew had a flight that wasn't delayed / Cancelled Flightled / etc!,"Jersey City, NJ",Asian,39,mobile
negative,@united wont transfer flight ticket to accompany an 11 yr old who's active military mom had to have emergency brain surgery? WOW!!,"Memphis, TN",African American,25,mobile
negative,@USAirways ticket counter people here are not helping and just want to charge more money even after this horrible day.,"Madison, WI",Hispanic,56,laptop
negative,"@united on a 4 seg flt yvr to zurich, why would you credit all miles and but only 2 segs on full fare?","Louisville, KY",African American,49,laptop
negative,@AmericanAir just need to know why it wasn't done like it was promised it would yesterday,"Raleigh, NC",Caucasian,24,laptop
positive,@JetBlue #kudos! And we're done and heading to warmer weather!,"Omaha, NE",African American,55,mobile
negative,@SouthwestAir why are yall trying to fly me to Chicago when I don't live there?! Send me home now!!!! Bullshit ass customer service,"Newark, NJ",African American,49,tablet
negative,@SouthwestAir we have to stay in Chicago overnight and meet up with our bags there. I hope they stay put and don't get put on a flight.,"Boston, MA",African American,34,tablet
negative,@united severely under staffed at Iah.,"Jersey City, NJ",Hispanic,42,laptop
positive,@AmericanAir fantastic thanks! Will try and tweet a photo of the view :),"Henderson, NV",Hispanic,43,mobile
positive,@SouthwestAir I love my Companion Pass (qualified 4th year).  #HollyMais,"Akron, OH",African American,43,mobile
negative,"@AmericanAir said that AA does not provide in-flight wifi on the routes to China based on some federal laws, but United does, why is that?","Jersey City, NJ",Hispanic,39,mobile
neutral,"@SouthwestAir boarding passes now compatible with #iPhone #Passbook 
http://t.co/1ESmMnIZEk","Mesa, AZ",Caucasian,15,tablet
negative,"@USAirways - what a disaster! Flight 3739, missed passenger count by 5 since it was done manually!!  Really???","Jersey City, NJ",African American,59,tablet
negative,@JetBlue u suck Big Donkey Balls!,"Denver, CO",Asian,30,mobile
positive,@SouthwestAir Thanks! Confirmation number just DMed. Appreciate any help!,"Charlotte, NC",Caucasian,49,mobile
negative,@JetBlue I shouldn't be made to feel like a criminal because I want to sit near my 5 year old on a flight. #jetblue http://t.co/qgtCao1J2U,"Winston-Salem, NC",Caucasian,33,tablet
neutral,@AmericanAir we've already made other arrangements ourselves.,"Virginia Beach, VA",Asian,24,tablet
negative,@USAirways cannot add my frequent flyer number on your website.  Can you help?,"Greensboro, NC",Hispanic,24,laptop
neutral,@SouthwestAir my ticket was booked 1/27 to CUN. Does the arrival time reflect that CUN is now on EST time?,"Madison, WI",African American,60,tablet
negative,@united there are a lot of unhappy cold people on the bridge in freezing temps for an hour. Not given any info.,"New Orleans, LA",Asian,43,laptop
neutral,"@jetblue We'd love to help Shanese Bryant-Melton, a hard-working grandmother from DC, go to Miami. It's on her bucket list. #flyitforward","Tampa, FL",African American,61,tablet
neutral,@united Want to book a multi-city fare. Have miles for 1of 2 flights. An option to pay for 1st flight with miles +2nd with UMP Visa? Thanks!,"Seattle, WA",African American,51,tablet
negative,@united When will email address/username sign-on be available? It's been a while.,"Indianapolis, IN",African American,39,laptop
negative,"@united yes, I've been waiting for four hours and no one has been able to help me.","Corpus Christi, TX",Caucasian,30,mobile
neutral,@AmericanAir I will thank you. What do I do if I can't get through and my flight on hold Cancelled Flights?,"New Orleans, LA",Caucasian,39,laptop
negative,@USAirways flight scheduled for 730pm...told at 150am that flight is Cancelled Flightled after sitting on cold plane for 2 hours.,"Raleigh, NC",African American,37,laptop
negative,@united Yes there were PLENTY of seats available.  So why did Vicky Thomas refuse to give one to a million mile flyer?,"Winston-Salem, NC",African American,26,tablet
negative,@united UA63 from Madrid arrived no agent mass confusion we sent to and fro by 3 UA employees. MaryJo was rude and unhelpful.,"Lincoln, NE",African American,55,mobile
negative,@USAirways @AmericanAir terminal E in Miami is still the worst most smelly airport ever. Thanks for nothing.,"Philadelphia, PA",Caucasian,36,mobile
negative,"@united great decision making skills flight ops IAH bag makes a 10 minute connection and I don't, flight pushed early. Disappointed!!!!","Buffalo, NY",Native American,43,tablet
neutral,@JetBlue When I checked yesterday it looked like it did. Did something change?,"Lincoln, NE",Caucasian,25,tablet
negative,@united no it weighed 45.5 and it was the only checked bag,"Las Vegas, NV",African American,50,mobile
negative,@USAirways When I check online it states status closed. What does this mean? As I have yet been able to reach a live person...,"Denver, CO",Hispanic,50,tablet
negative,@united you asked me to DM then ignore them. Please assist in changing to another flight today- 21 Feb fra to mco avoiding IAD.,"Norfolk, VA",Caucasian,31,tablet
neutral,@AmericanAir #AmericanAirlines on approach to mex.... http://t.co/se57dmjHiW,"New Orleans, LA",Hispanic,15,mobile
negative,@united &amp; finally he was told he couldnt use the front of plane restrm (he was row7) though myself/others in rows behind him used w/no issue,"Minneapolis, MN",Hispanic,21,mobile
neutral,@AmericanAir any earlier flights SAP-&gt;Mia &amp; Mia -&gt; New York (lga) on 03.03. I'm currently booked on flights 1504 and 1102.,"Chandler, AZ",Caucasian,21,mobile
negative,@united last night we waited forever at the gate because someone from corporate dispatch FORGOT to call the crew #unfriendlyskies,"Louisville, KY",Caucasian,37,tablet
negative,@united - SERIOUSLY it's 2015?!?!  NO WiFi on a 5hr flight from CLE-SFO #1589.  You're the ONLY airline without WiFi...,"Denver, CO",African American,52,tablet
negative,@united you told me you changed my flight and im in the ottawa airport and AC cant find my reservation! Whats wrong with you,"Fresno, CA",African American,37,tablet
negative,“@JetBlue: @Analystdoc Unfortunately that's not an available option with our current system. Sorry guys. That's a certain #fail Fix it plz.,"Saint Paul, MN",African American,35,tablet
negative,"@united don't need your apologies, need my bag. Took 56 minutes from landing to get it. Unacceptable.","Riverside, CA",Caucasian,42,tablet
neutral,@AmericanAir See photo of B787 scale model &amp; our PN 320008A wheel deflator specified in Chapter 32 of B787 AMM. http://t.co/kfD4WQRkLW,"Fresno, CA",African American,47,tablet
neutral,@united flying out of STL Saturday where they are expecting ice &amp; snow. When should we start looking for travel waivers? Thanks!,"Las Vegas, NV",African American,52,tablet
negative,@AmericanAir thanks for getting back to me. But I will find other airlines in the future.,"Houston, TX",Hispanic,26,tablet
positive,@VirginAmerica you know it. Need it on my spotify stat #guiltypleasures,"Norfolk, VA",Caucasian,36,laptop
negative,@united I will be patient in my luxurious middle seat on my next delayed flight,"Reno, NV",Caucasian,26,mobile
negative,@USAirways 4 hours on tarmac in Charleston and still can't get a response after a week. Unacceptable,"Long Beach, CA",Caucasian,26,laptop
negative,@SouthwestAir What's happened to your customer service? 2 Cancelled Flightled flights in 2 days &amp; an uninformed and unapologetic staff. #nolove #cali,"Oakland, CA",African American,50,laptop
negative,@united 777 from SFO to HNL with ZERO entertainment systems???!!!#youareonyourown,"Jacksonville, FL",Hispanic,42,laptop
negative,@AmericanAir 3078 is overweight so you pull 2 dozen passengers off? Why not luggage? Seriously?,"Houston, TX",Caucasian,49,tablet
negative,"@JetBlue disappointed that my flight back to boston from PR was Cancelled Flightled,rebooked 4 the next day,delayed that one too, and no compensation","Tulsa, OK",Caucasian,47,tablet
negative,@united have better customer service at John Wayne airport.,"Anchorage, AK",African American,49,laptop
negative,"@AmericanAir after waiting for a delayed plane, we sat on the plane for an hour waiting for a Late Flight passenger. That's BS too..","Lubbock, TX",Hispanic,47,laptop
negative,@united As it always is. Helps to communicate to customers.,"Charlotte, NC",Caucasian,64,tablet
negative,@united you're customer service is unbelievably bad. Abysmal. I've been on the phone for well over 2hrs tonight. Hung up on by yr ppl 3x.,"Wichita, KS",Hispanic,25,laptop
neutral,@SouthwestAir 3rd time flying southwest in two years. Have another trip back to mx on October.,"Detroit, MI",Caucasian,49,laptop
negative,@AmericanAir Priority baggage evidently means it comes out last,"Tampa, FL",Hispanic,18,laptop
negative,@united did I mention one bag is an infant car seat &amp; we've been stuck with yr poor replacement on icy mtn roads,"Fort Wayne, IN",Hispanic,60,tablet
positive,"@united Just did, thanks for checking! :)","Albuquerque, NM",Hispanic,43,laptop
negative,"@AmericanAir I understand that, but I'm not even being put on hold - it says ""try again Late Flightr, goodbye"".","Virginia Beach, VA",Hispanic,15,tablet
negative,@united why I won't check my carry on. Watched a handler throw this bag -- miss the conveyer belt -- sat there 10 min http://t.co/lyoocx5mSH,"Saint Paul, MN",African American,40,laptop
negative,"@SouthwestAir You rerouted my bf's flight and he's diabetic with little insulin; even though we tried to change it, the agent wouldn't do it","Winston-Salem, NC",African American,49,mobile
negative,"@AmericanAir there's a lot of talks and no doing. 
MIA-SFO on a 20+ year old plane #nonewplanes #old #shame http://t.co/TwETPXUpPN","Washington, D.C.",Hispanic,64,mobile
negative,@AmericanAir  flight to dca I need to change asap help can't get through,"San Diego, CA",Hispanic,24,mobile
negative,@united All these changes. Way to stick it to your Premiere 1K loyal customers. Why make things harder for those that loyal to you?,"Aurora, CO",Hispanic,18,tablet
negative,@USAirways ok...i know doors close ~10 minutes before takeoff. stop telling me my flight will leave in 20 minutes when we haven't boarded.,"Philadelphia, PA",Caucasian,33,mobile
negative,@united I hope not to see the same issue on my return flight tomorrow,"San Francisco, CA",Hispanic,43,mobile
negative,@united customer service 👎,"Tucson, AZ",African American,27,tablet
negative,"@USAirways My wife, sick 3yr-old-twins, and I have been waiting in line now for 2hrs to see an agent! Phone agent said nothing til Tuesday!","Lubbock, TX",Hispanic,28,tablet
